    "price"		"income" 	"quantity"
 3.07134982001258 -9.61536161474829 -5.89270943736512
 3.09734075914209 -9.61081489458382 -5.88874304028009
 3.0929950911742 -9.60347924014282 -5.87417320987283
 3.10584149623402 -9.59683677516172 -5.89048136241823
 3.10157767163733 -9.59299866582708 -5.87185181919559
 3.10157767163733 -9.59015385957452 -5.88035133424843
 3.09729558896343 -9.59343766964861 -5.87714221186876
 3.12262920674234 -9.60024258285222 -5.89686441764182
 3.11427057947752 -9.60106047767477 -5.89573383346183
 3.14328983791161 -9.60265386636889 -5.87577171071142
 3.14324669634254 -9.59597633829496 -5.88958467309024
 3.14328983791161 -9.58900643271412 -5.89048819112509
 3.13096222281409 -9.5867303043501 -5.8885568331898
 3.12680439464771 -9.58843755292074 -5.88733340900234
 3.12262920674234 -9.58811983636633 -5.87711678988312
 3.12680439464771 -9.58659894152582 -5.82982302706955
 3.12262920674234 -9.58552540489887 -5.85876943541698
 3.13096222281409 -9.58728938009711 -5.84456414995351
 3.14328983791161 -9.58461006181166 -5.86755528342904
 3.15942301621047 -9.58760936600007 -5.87730335311815
 3.15542471228758 -9.58678068229108 -5.85691946023613
 3.14324669634254 -9.58795092261335 -5.8768113462618
 3.16344767795858 -9.59151516658608 -5.87279688077364
 3.15542471228758 -9.59929730418634 -5.87851254106174
 3.15542471228758 -9.59217706125075 -5.88052687956858
 3.14733685768589 -9.58835034140371 -5.88465744108821
 3.13096222281409 -9.58635563173617 -5.87595055518793
 3.09729558896343 -9.58564907234671 -5.8485176404768
 3.1100426197314 -9.5793821013928 -5.87195265927444
 3.11427057947752 -9.56935246651037 -5.86211510522184
 3.12680439464771 -9.56759364124036 -5.87408075284287
 3.13918305595895 -9.56893440986601 -5.87996056756853
 3.14328983791161 -9.56922220967381 -5.87405556335187
 3.13096222281409 -9.56043152090468 -5.88310287970531
 3.13913973684872 -9.55187873734103 -5.87000440757277
 3.11848073881304 -9.548314035005 -5.87226523190691
 3.12262920674234 -9.55331561594388 -5.86255732647839
 3.13918305595895 -9.5494593435114 -5.85923257649812
 3.11427057947752 -9.54425574000019 -5.83301606969648
 3.14324669634254 -9.5410686736668 -5.85336495001236
 3.13913973684872 -9.54147276450057 -5.85559219235407
 3.12262920674234 -9.53922774656755 -5.84233503593912
 3.10157767163733 -9.53706430631266 -5.83700719071482
 3.12262920674234 -9.53794139737403 -5.83855335847298
 3.15942301621047 -9.53860505920108 -5.86591342126558
 3.15136756508544 -9.5365111547491 -5.8305469176982
 3.14733685768589 -9.53347700459176 -5.84385307672908
 3.15946546553659 -9.53103006961725 -5.83868028211295
 3.14733685768589 -9.52526044984793 -5.82252054551321
 3.14729389036253 -9.5331583985759 -5.84303000453853
 3.13091854610906 -9.53170164490992 -5.83255051502871
 3.12262920674234 -9.52719365681302 -5.82267778067995
 3.13096222281409 -9.52404978814114 -5.81848718797157
 3.1100426197314 -9.52024787381965 -5.82751714968251
